Scenario,Criteria,Expected Matches For Recall,Predicted Matches (Recall),Recall,Expected Matches For Precision,Predicted Matches (Precision),Precision,F1 Score,Expected Matched For Accuracy,Predicted Matched (Accuracy),Accuracy
621,"[('medium_fiber', 'HasFiberLevel'), ('breakfast', 'isForMealType')]",96,96,1.0,342,96,0.2807017543859649,0.4383561643835616,96,81,0.84375
622,"[('medium_fiber', 'HasFiberLevel'), ('lunch', 'isForMealType')]",263,246,0.935361216730038,342,246,0.7192982456140351,0.8132231404958677,263,222,0.844106463878327
623,"[('medium_fiber', 'HasFiberLevel'), ('dinner', 'isForMealType')]",186,182,0.978494623655914,342,182,0.5321637426900585,0.6893939393939394,186,156,0.8387096774193549
624,"[('medium_fiber', 'HasFiberLevel'), ('snack', 'isForMealType')]",158,152,0.9620253164556962,342,152,0.4444444444444444,0.608,158,130,0.8227848101265823
625,"[('medium_fiber', 'HasFiberLevel'), ('dessert', 'isForMealType')]",153,150,0.9803921568627451,342,150,0.43859649122807015,0.6060606060606061,153,134,0.8758169934640523
626,"[('medium_fiber', 'HasFiberLevel'), ('starter', 'isForMealType')]",160,154,0.9625,342,154,0.4502923976608187,0.6135458167330677,160,134,0.8375
627,"[('medium_fiber', 'HasFiberLevel'), ('brunch', 'isForMealType')]",125,124,0.992,342,124,0.36257309941520466,0.5310492505353318,125,110,0.88
628,"[('medium_fiber', 'HasFiberLevel'), ('drink', 'isForMealType')]",23,23,1.0,342,23,0.06725146198830409,0.12602739726027398,23,14,0.6086956521739131
629,"[('high_fiber', 'HasFiberLevel'), ('breakfast', 'isForMealType')]",40,40,1.0,342,40,0.11695906432748537,0.2094240837696335,40,36,0.9
630,"[('high_fiber', 'HasFiberLevel'), ('lunch', 'isForMealType')]",190,184,0.968421052631579,342,184,0.5380116959064327,0.6917293233082706,190,160,0.8421052631578947
631,"[('high_fiber', 'HasFiberLevel'), ('dinner', 'isForMealType')]",105,105,1.0,342,105,0.30701754385964913,0.4697986577181208,105,78,0.7428571428571429
632,"[('high_fiber', 'HasFiberLevel'), ('snack', 'isForMealType')]",60,60,1.0,342,60,0.17543859649122806,0.29850746268656714,60,52,0.8666666666666667
633,"[('high_fiber', 'HasFiberLevel'), ('dessert', 'isForMealType')]",51,51,1.0,342,51,0.14912280701754385,0.2595419847328244,51,41,0.803921568627451
634,"[('high_fiber', 'HasFiberLevel'), ('starter', 'isForMealType')]",89,85,0.9659090909090909,342,85,0.24853801169590642,0.3953488372093023,89,74,0.8314606741573034
635,"[('high_fiber', 'HasFiberLevel'), ('brunch', 'isForMealType')]",55,55,1.0,342,55,0.1608187134502924,0.2770780856423174,55,46,0.8363636363636363
636,"[('high_fiber', 'HasFiberLevel'), ('drink', 'isForMealType')]",16,16,1.0,342,16,0.04678362573099415,0.08938547486033518,16,11,0.6875
637,"[('low_fiber', 'HasFiberLevel'), ('vegetarian', 'hasDietType')]",1483,341,0.2299393122049899,342,341,0.9970760233918129,0.37369863013698634,1483,1282,0.8644639244774106
638,"[('low_fiber', 'HasFiberLevel'), ('vegan', 'hasDietType')]",1110,341,0.30748422001803427,342,341,0.9970760233918129,0.47002067539627845,1110,942,0.8486486486486486
639,"[('low_fiber', 'HasFiberLevel'), ('paleo', 'hasDietType')]",371,257,0.692722371967655,342,257,0.7514619883040936,0.7208976157082749,371,264,0.7115902964959568
640,"[('low_fiber', 'HasFiberLevel'), ('standard', 'hasDietType')]",1380,341,0.2474600870827286,342,341,0.9970760233918129,0.3965116279069767,1380,1180,0.855072463768116
641,"[('medium_fiber', 'HasFiberLevel'), ('vegetarian', 'hasDietType')]",278,251,0.9028776978417267,342,251,0.7339181286549707,0.8096774193548387,278,232,0.8345323741007195
642,"[('medium_fiber', 'HasFiberLevel'), ('vegan', 'hasDietType')]",273,238,0.8717948717948718,342,238,0.695906432748538,0.7739837398373984,273,217,0.7948717948717948
643,"[('medium_fiber', 'HasFiberLevel'), ('paleo', 'hasDietType')]",30,30,1.0,342,30,0.08771929824561403,0.16129032258064516,30,22,0.7333333333333333
644,"[('medium_fiber', 'HasFiberLevel'), ('standard', 'hasDietType')]",324,283,0.8734567901234568,342,283,0.827485380116959,0.8498498498498498,324,278,0.8580246913580247
645,"[('high_fiber', 'HasFiberLevel'), ('vegetarian', 'hasDietType')]",133,129,0.9699248120300752,342,129,0.37719298245614036,0.5431578947368422,133,108,0.8120300751879699
646,"[('high_fiber', 'HasFiberLevel'), ('vegan', 'hasDietType')]",181,173,0.9558011049723757,342,173,0.5058479532163743,0.6615678776290631,181,149,0.8232044198895028
647,"[('high_fiber', 'HasFiberLevel'), ('paleo', 'hasDietType')]",6,6,1.0,342,6,0.017543859649122806,0.034482758620689655,6,2,0.3333333333333333
648,"[('high_fiber', 'HasFiberLevel'), ('standard', 'hasDietType')]",158,152,0.9681528662420382,342,152,0.4444444444444444,0.6092184368737475,158,124,0.7848101265822784
649,"[('low_fiber', 'HasFiberLevel'), ('global', 'isFromRegion')]",1011,341,0.33762376237623765,342,341,0.9970760233918129,0.5044378698224853,1011,854,0.8447082096933729
650,"[('low_fiber', 'HasFiberLevel'), ('asia', 'isFromRegion')]",596,331,0.5553691275167785,342,331,0.9678362573099415,0.7057569296375266,596,477,0.8003355704697986
651,"[('low_fiber', 'HasFiberLevel'), ('north_america', 'isFromRegion')]",1292,342,0.2651162790697674,342,342,1.0,0.4191176470588235,1292,1058,0.8188854489164087
652,"[('low_fiber', 'HasFiberLevel'), ('europe', 'isFromRegion')]",969,341,0.35190918472652216,342,341,0.9970760233918129,0.5202135774218154,969,780,0.804953560371517
653,"[('low_fiber', 'HasFiberLevel'), ('middle_east', 'isFromRegion')]",305,223,0.7311475409836066,342,223,0.652046783625731,0.6893353941267387,305,213,0.6983606557377049
654,"[('low_fiber', 'HasFiberLevel'), ('latin_america_and_caribbean', 'isFromRegion')]",238,184,0.773109243697479,342,184,0.5380116959064327,0.6344827586206896,238,164,0.6890756302521008
655,"[('low_fiber', 'HasFiberLevel'), ('oceania', 'isFromRegion')]",317,241,0.7602523659305994,342,241,0.7046783625730995,0.7314112291350531,317,231,0.7287066246056783
656,"[('low_fiber', 'HasFiberLevel'), ('africa', 'isFromRegion')]",256,196,0.765625,342,196,0.5730994152046783,0.6555183946488294,256,177,0.69140625
657,"[('medium_fiber', 'HasFiberLevel'), ('global', 'isFromRegion')]",174,170,0.9770114942528736,342,170,0.49707602339181284,0.6589147286821706,174,150,0.8620689655172413
658,"[('medium_fiber', 'HasFiberLevel'), ('asia', 'isFromRegion')]",137,136,0.9927007299270073,342,136,0.39766081871345027,0.5678496868475992,137,122,0.8905109489051095
659,"[('medium_fiber', 'HasFiberLevel'), ('north_america', 'isFromRegion')]",285,256,0.8982456140350877,342,256,0.7485380116959064,0.8165869218500797,285,243,0.8526315789473684
660,"[('medium_fiber', 'HasFiberLevel'), ('europe', 'isFromRegion')]",210,206,0.9809523809523809,342,206,0.6023391812865497,0.746376811594203,210,180,0.8571428571428571
661,"[('medium_fiber', 'HasFiberLevel'), ('middle_east', 'isFromRegion')]",112,110,0.9821428571428571,342,110,0.3216374269005848,0.4845814977973568,112,88,0.7857142857142857
662,"[('medium_fiber', 'HasFiberLevel'), ('latin_america_and_caribbean', 'isFromRegion')]",67,67,1.0,342,67,0.195906432748538,0.32762836185819066,67,49,0.7313432835820896
663,"[('medium_fiber', 'HasFiberLevel'), ('oceania', 'isFromRegion')]",105,101,0.9619047619047619,342,101,0.2953216374269006,0.4519015659955257,105,85,0.8095238095238095
664,"[('medium_fiber', 'HasFiberLevel'), ('africa', 'isFromRegion')]",74,73,0.9864864864864865,342,73,0.2134502923976608,0.35096153846153844,74,57,0.7702702702702703
665,"[('high_fiber', 'HasFiberLevel'), ('global', 'isFromRegion')]",75,75,1.0,342,75,0.21929824561403508,0.3597122302158273,75,60,0.8
666,"[('high_fiber', 'HasFiberLevel'), ('asia', 'isFromRegion')]",66,64,0.9696969696969697,342,64,0.1871345029239766,0.3137254901960784,66,48,0.7272727272727273
667,"[('high_fiber', 'HasFiberLevel'), ('north_america', 'isFromRegion')]",143,139,0.972027972027972,342,139,0.4064327485380117,0.5731958762886598,143,114,0.7972027972027972
668,"[('high_fiber', 'HasFiberLevel'), ('europe', 'isFromRegion')]",94,91,0.9680851063829787,342,91,0.26608187134502925,0.4174311926605505,94,81,0.8617021276595744
669,"[('high_fiber', 'HasFiberLevel'), ('middle_east', 'isFromRegion')]",70,70,1.0,342,70,0.2046783625730994,0.3398058252427184,70,56,0.8
670,"[('high_fiber', 'HasFiberLevel'), ('latin_america_and_caribbean', 'isFromRegion')]",36,36,1.0,342,36,0.10526315789473684,0.1904761904761905,36,28,0.7777777777777778
671,"[('high_fiber', 'HasFiberLevel'), ('oceania', 'isFromRegion')]",54,54,1.0,342,54,0.15789473684210525,0.2727272727272727,54,44,0.8148148148148148
672,"[('high_fiber', 'HasFiberLevel'), ('africa', 'isFromRegion')]",68,68,1.0,342,68,0.19883040935672514,0.33170731707317075,68,54,0.7941176470588235
673,"[('low_fiber', 'HasFiberLevel'), ('less_than_60_mins', 'needTimeToCook')]",1054,341,0.3235294117647059,342,341,0.9970760233918129,0.48853868194842404,1054,882,0.8368121442125237
674,"[('low_fiber', 'HasFiberLevel'), ('less_than_15_mins', 'needTimeToCook')]",845,337,0.3988165680473373,342,337,0.9853801169590644,0.5678180286436395,845,686,0.8118343195266272
675,"[('low_fiber', 'HasFiberLevel'), ('less_than_30_mins', 'needTimeToCook')]",1098,341,0.3105646630236794,342,341,0.9970760233918129,0.4736111111111111,1098,904,0.8233151183970856
676,"[('low_fiber', 'HasFiberLevel'), ('less_than_6_hours', 'needTimeToCook')]",513,308,0.6015625,342,308,0.9005847953216374,0.7213114754098361,513,393,0.7660818713450293
677,"[('low_fiber', 'HasFiberLevel'), ('less_than_4_hours', 'needTimeToCook')]",982,342,0.34826883910386963,342,342,1.0,0.5166163141993958,982,790,0.8044806517311609
678,"[('low_fiber', 'HasFiberLevel'), ('more_than_6_hours', 'needTimeToCook')]",492,304,0.6178861788617886,342,304,0.8888888888888888,0.7290167865707433,492,369,0.75
679,"[('medium_fiber', 'HasFiberLevel'), ('less_than_60_mins', 'needTimeToCook')]",302,273,0.9039735099337748,342,273,0.7982456140350878,0.8478260869565217,302,265,0.8774834437086093
680,"[('medium_fiber', 'HasFiberLevel'), ('less_than_15_mins', 'needTimeToCook')]",147,144,0.9795918367346939,342,144,0.42105263157894735,0.5889570552147239,147,123,0.8367346938775511
681,"[('medium_fiber', 'HasFiberLevel'), ('less_than_30_mins', 'needTimeToCook')]",217,210,0.967741935483871,342,210,0.6140350877192983,0.7513416815742398,217,192,0.8847926267281107
682,"[('medium_fiber', 'HasFiberLevel'), ('less_than_6_hours', 'needTimeToCook')]",90,90,1.0,342,90,0.2631578947368421,0.4166666666666667,90,75,0.8333333333333334
683,"[('medium_fiber', 'HasFiberLevel'), ('less_than_4_hours', 'needTimeToCook')]",288,261,0.90625,342,261,0.7631578947368421,0.8285714285714286,288,245,0.8506944444444444
684,"[('medium_fiber', 'HasFiberLevel'), ('more_than_6_hours', 'needTimeToCook')]",120,116,0.9666666666666667,342,116,0.3391812865497076,0.5021645021645021,120,98,0.8166666666666667
685,"[('high_fiber', 'HasFiberLevel'), ('less_than_60_mins', 'needTimeToCook')]",145,140,0.9655172413793104,342,140,0.4093567251461988,0.5749486652977412,145,117,0.8068965517241379
686,"[('high_fiber', 'HasFiberLevel'), ('less_than_15_mins', 'needTimeToCook')]",60,60,1.0,342,60,0.17543859649122806,0.29850746268656714,60,49,0.8166666666666667
687,"[('high_fiber', 'HasFiberLevel'), ('less_than_30_mins', 'needTimeToCook')]",108,106,0.9814814814814815,342,106,0.30994152046783624,0.47111111111111104,108,90,0.8333333333333334
688,"[('high_fiber', 'HasFiberLevel'), ('less_than_6_hours', 'needTimeToCook')]",48,48,1.0,342,48,0.14035087719298245,0.24615384615384614,48,34,0.7083333333333334
689,"[('high_fiber', 'HasFiberLevel'), ('less_than_4_hours', 'needTimeToCook')]",169,167,0.9881656804733728,342,167,0.48830409356725146,0.6536203522504893,169,141,0.834319526627219
690,"[('high_fiber', 'HasFiberLevel'), ('more_than_6_hours', 'needTimeToCook')]",76,76,1.0,342,76,0.2222222222222222,0.3636363636363636,76,64,0.8421052631578947
691,"[('low_fiber', 'HasFiberLevel'), ('salt_product', 'contains')]",4984,342,0.06866091146356153,342,342,1.0,0.1284989667480744,4984,4420,0.8868378812199037
692,"[('low_fiber', 'HasFiberLevel'), ('garlic_clove', 'contains')]",4984,342,0.06866091146356153,342,342,1.0,0.1284989667480744,4984,4259,0.8545345104333868
693,"[('low_fiber', 'HasFiberLevel'), ('water_(eurofir)', 'contains')]",4984,341,0.06846014856454527,342,341,0.9970760233918129,0.12812323877512682,4984,4600,0.9229534510433387
694,"[('low_fiber', 'HasFiberLevel'), ('sugar', 'contains')]",4984,342,0.06866091146356153,342,342,1.0,0.1284989667480744,4984,4659,0.9347913322632424
695,"[('low_fiber', 'HasFiberLevel'), ('flour', 'contains')]",4984,342,0.06866091146356153,342,342,1.0,0.1284989667480744,4984,4598,0.9225521669341894
696,"[('low_fiber', 'HasFiberLevel'), ('chicken_egg', 'contains')]",4984,342,0.06866091146356153,342,342,1.0,0.1284989667480744,4984,4619,0.9267656500802568
697,"[('low_fiber', 'HasFiberLevel'), ('olive_oil', 'contains')]",4984,342,0.06866091146356153,342,342,1.0,0.1284989667480744,4984,4428,0.8884430176565008
698,"[('low_fiber', 'HasFiberLevel'), ('butter', 'contains')]",4984,342,0.06866091146356153,342,342,1.0,0.1284989667480744,4984,4581,0.9191412520064205
699,"[('low_fiber', 'HasFiberLevel'), ('onion', 'contains')]",4984,342,0.06866091146356153,342,342,1.0,0.1284989667480744,4984,4374,0.8776083467094703
700,"[('low_fiber', 'HasFiberLevel'), ('black_pepper_(ground)', 'contains')]",4984,342,0.06866091146356153,342,342,1.0,0.1284989667480744,4984,4584,0.9197431781701445
701,"[('low_fiber', 'HasFiberLevel'), ('lemon_juice', 'contains')]",4984,341,0.06846014856454527,342,341,0.9970760233918129,0.12812323877512682,4984,4691,0.9412118780096308
702,"[('low_fiber', 'HasFiberLevel'), ('milk', 'contains')]",4984,342,0.06866091146356153,342,342,1.0,0.1284989667480744,4984,4689,0.9408105939004815
703,"[('low_fiber', 'HasFiberLevel'), ('brown_sugar', 'contains')]",4984,342,0.06866091146356153,342,342,1.0,0.1284989667480744,4984,4660,0.934991974317817
704,"[('low_fiber', 'HasFiberLevel'), ('tomato', 'contains')]",4984,341,0.06846014856454527,342,341,0.9970760233918129,0.12812323877512682,4984,4530,0.908908507223114
705,"[('low_fiber', 'HasFiberLevel'), ('pepper', 'contains')]",4984,341,0.06846014856454527,342,341,0.9970760233918129,0.12812323877512682,4984,4604,0.9237560192616372
706,"[('low_fiber', 'HasFiberLevel'), ('baking_powder', 'contains')]",4984,342,0.06866091146356153,342,342,1.0,0.1284989667480744,4984,4646,0.9321829855537721
707,"[('low_fiber', 'HasFiberLevel'), ('cinnamon', 'contains')]",4984,342,0.06866091146356153,342,342,1.0,0.1284989667480744,4984,4594,0.9217495987158909
708,"[('low_fiber', 'HasFiberLevel'), ('red_onion', 'contains')]",4984,340,0.06825938566552901,342,340,0.9941520467836257,0.12774751080217922,4984,4631,0.9291733547351525
709,"[('low_fiber', 'HasFiberLevel'), ('honey', 'contains')]",4984,342,0.06866091146356153,342,342,1.0,0.1284989667480744,4984,4713,0.9456260032102729
710,"[('low_fiber', 'HasFiberLevel'), ('cumin_seed', 'contains')]",4984,338,0.06785785986749648,342,338,0.9883040935672515,0.12699605485628404,4984,4438,0.8904494382022472
711,"[('medium_fiber', 'HasFiberLevel'), ('salt_product', 'contains')]",1164,328,0.281786941580756,342,328,0.9590643274853801,0.43559096945551123,1164,660,0.5670103092783505
712,"[('medium_fiber', 'HasFiberLevel'), ('garlic_clove', 'contains')]",1164,323,0.2774914089347079,342,323,0.9444444444444444,0.4289508632138114,1164,715,0.6142611683848798
713,"[('medium_fiber', 'HasFiberLevel'), ('water_(eurofir)', 'contains')]",1164,274,0.23539518900343642,342,274,0.8011695906432749,0.36387782204515273,1164,676,0.5807560137457045
714,"[('medium_fiber', 'HasFiberLevel'), ('sugar', 'contains')]",1164,254,0.218213058419244,342,254,0.7426900584795322,0.33731739707835323,1164,640,0.5498281786941581
715,"[('medium_fiber', 'HasFiberLevel'), ('flour', 'contains')]",1164,269,0.23109965635738833,342,269,0.7865497076023392,0.35723771580345287,1164,645,0.5541237113402062
716,"[('medium_fiber', 'HasFiberLevel'), ('chicken_egg', 'contains')]",1164,233,0.20017182130584193,342,233,0.6812865497076024,0.30942895086321387,1164,589,0.5060137457044673
717,"[('medium_fiber', 'HasFiberLevel'), ('olive_oil', 'contains')]",1164,307,0.26374570446735396,342,307,0.8976608187134503,0.4077025232403719,1164,755,0.6486254295532646
718,"[('medium_fiber', 'HasFiberLevel'), ('butter', 'contains')]",1164,271,0.23281786941580757,342,271,0.7923976608187134,0.3598937583001328,1164,685,0.5884879725085911
719,"[('medium_fiber', 'HasFiberLevel'), ('onion', 'contains')]",1164,316,0.27147766323024053,342,316,0.9239766081871345,0.41965471447543157,1164,748,0.6426116838487973
720,"[('medium_fiber', 'HasFiberLevel'), ('black_pepper_(ground)', 'contains')]",1164,303,0.2603092783505155,342,303,0.8859649122807017,0.40239043824701193,1164,844,0.7250859106529209
721,"[('medium_fiber', 'HasFiberLevel'), ('lemon_juice', 'contains')]",1164,297,0.2551546391752577,342,297,0.868421052631579,0.3944223107569721,1164,877,0.7534364261168385
722,"[('medium_fiber', 'HasFiberLevel'), ('milk', 'contains')]",1164,272,0.23367697594501718,342,272,0.7953216374269005,0.36122177954847273,1164,738,0.634020618556701
723,"[('medium_fiber', 'HasFiberLevel'), ('brown_sugar', 'contains')]",1164,279,0.23969072164948454,342,279,0.8157894736842105,0.37051792828685265,1164,814,0.6993127147766323
724,"[('medium_fiber', 'HasFiberLevel'), ('tomato', 'contains')]",1164,302,0.25945017182130586,342,302,0.8830409356725146,0.401062416998672,1164,894,0.7680412371134021
725,"[('medium_fiber', 'HasFiberLevel'), ('pepper', 'contains')]",1164,289,0.24828178694158076,342,289,0.8450292397660819,0.3837981407702523,1164,839,0.7207903780068728
726,"[('medium_fiber', 'HasFiberLevel'), ('baking_powder', 'contains')]",1164,235,0.20189003436426117,342,235,0.6871345029239766,0.31208499335989376,1164,704,0.6048109965635738
727,"[('medium_fiber', 'HasFiberLevel'), ('cinnamon', 'contains')]",1164,306,0.26288659793814434,342,306,0.8947368421052632,0.4063745019920319,1164,870,0.7474226804123711
728,"[('medium_fiber', 'HasFiberLevel'), ('red_onion', 'contains')]",1164,294,0.25257731958762886,342,294,0.8596491228070176,0.3904382470119522,1164,870,0.7474226804123711
729,"[('medium_fiber', 'HasFiberLevel'), ('honey', 'contains')]",1164,292,0.2508591065292096,342,292,0.8538011695906432,0.38778220451527223,1164,873,0.75
730,"[('medium_fiber', 'HasFiberLevel'), ('cumin_seed', 'contains')]",1164,278,0.23883161512027493,342,278,0.8128654970760234,0.3691899070385126,1164,816,0.7010309278350515
731,"[('high_fiber', 'HasFiberLevel'), ('salt_product', 'contains')]",606,233,0.3851239669421488,342,233,0.6812865497076024,0.49208025343189016,606,295,0.4867986798679868
732,"[('high_fiber', 'HasFiberLevel'), ('garlic_clove', 'contains')]",606,267,0.4413223140495868,342,267,0.7807017543859649,0.5638859556494192,606,349,0.5759075907590759
733,"[('high_fiber', 'HasFiberLevel'), ('water_(eurofir)', 'contains')]",606,209,0.34545454545454546,342,209,0.6111111111111112,0.44139387539598735,606,295,0.4867986798679868
734,"[('high_fiber', 'HasFiberLevel'), ('sugar', 'contains')]",606,162,0.26776859504132233,342,162,0.47368421052631576,0.34213305174234426,606,254,0.41914191419141916
735,"[('high_fiber', 'HasFiberLevel'), ('flour', 'contains')]",606,157,0.25950413223140495,342,157,0.4590643274853801,0.33157338965153116,606,246,0.40594059405940597
736,"[('high_fiber', 'HasFiberLevel'), ('chicken_egg', 'contains')]",606,135,0.2231404958677686,342,135,0.39473684210526316,0.28511087645195354,606,219,0.3613861386138614
737,"[('high_fiber', 'HasFiberLevel'), ('olive_oil', 'contains')]",606,236,0.39008264462809916,342,236,0.6900584795321637,0.49841605068637806,606,326,0.5379537953795379
738,"[('high_fiber', 'HasFiberLevel'), ('butter', 'contains')]",606,177,0.29256198347107437,342,177,0.5175438596491229,0.37381203801478347,606,282,0.46534653465346537
739,"[('high_fiber', 'HasFiberLevel'), ('onion', 'contains')]",606,249,0.4115702479338843,342,249,0.7280701754385965,0.525871172122492,606,338,0.5577557755775577
740,"[('high_fiber', 'HasFiberLevel'), ('black_pepper_(ground)', 'contains')]",606,231,0.38181818181818183,342,231,0.6754385964912281,0.48785638859556496,606,339,0.5594059405940595
741,"[('high_fiber', 'HasFiberLevel'), ('lemon_juice', 'contains')]",606,227,0.3752066115702479,342,227,0.6637426900584795,0.47940865892291445,606,387,0.6386138613861386
742,"[('high_fiber', 'HasFiberLevel'), ('milk', 'contains')]",606,185,0.30578512396694213,342,185,0.5409356725146199,0.3907074973600845,606,321,0.5297029702970297
743,"[('high_fiber', 'HasFiberLevel'), ('brown_sugar', 'contains')]",606,216,0.35702479338842974,342,216,0.631578947368421,0.45617740232312565,606,347,0.5726072607260726
744,"[('high_fiber', 'HasFiberLevel'), ('tomato', 'contains')]",606,261,0.43140495867768597,342,261,0.7631578947368421,0.5512143611404436,606,412,0.6798679867986799
745,"[('high_fiber', 'HasFiberLevel'), ('pepper', 'contains')]",606,242,0.4,342,242,0.7076023391812866,0.5110876451953538,606,363,0.599009900990099
746,"[('high_fiber', 'HasFiberLevel'), ('baking_powder', 'contains')]",606,176,0.2909090909090909,342,176,0.5146198830409356,0.37170010559662087,606,291,0.4801980198019802
747,"[('high_fiber', 'HasFiberLevel'), ('cinnamon', 'contains')]",606,253,0.41818181818181815,342,253,0.7397660818713451,0.5343189017951425,606,391,0.6452145214521452
748,"[('high_fiber', 'HasFiberLevel'), ('red_onion', 'contains')]",606,252,0.41652892561983473,342,252,0.7368421052631579,0.53220696937698,606,397,0.6551155115511551
749,"[('high_fiber', 'HasFiberLevel'), ('honey', 'contains')]",606,227,0.3752066115702479,342,227,0.6637426900584795,0.47940865892291445,606,388,0.6402640264026402
750,"[('high_fiber', 'HasFiberLevel'), ('cumin_seed', 'contains')]",606,248,0.4099173553719008,342,248,0.7251461988304093,0.5237592397043295,606,371,0.6122112211221122
751,"[('low_sodium', 'HasSodiumLevel'), ('low_sugar', 'HasSugarLevel')]",1433,341,0.23796231681786462,342,341,0.9970760233918129,0.384225352112676,1433,1242,0.8667131891137474
752,"[('low_sodium', 'HasSodiumLevel'), ('medium_sugar', 'HasSugarLevel')]",430,315,0.7325581395348837,342,315,0.9210526315789473,0.816062176165803,430,357,0.8302325581395349
753,"[('low_sodium', 'HasSodiumLevel'), ('high_sugar', 'HasSugarLevel')]",905,340,0.3756906077348066,342,340,0.9941520467836257,0.5453087409783479,905,783,0.8651933701657458
754,"[('medium_sodium', 'HasSodiumLevel'), ('low_sugar', 'HasSugarLevel')]",1598,342,0.21401752190237797,342,342,1.0,0.3525773195876289,1598,1421,0.8892365456821026
755,"[('medium_sodium', 'HasSodiumLevel'), ('medium_sugar', 'HasSugarLevel')]",365,292,0.8,342,292,0.8538011695906432,0.826025459688826,365,300,0.821917808219178
756,"[('medium_sodium', 'HasSodiumLevel'), ('high_sugar', 'HasSugarLevel')]",627,337,0.5374800637958532,342,337,0.9853801169590644,0.695562435500516,627,537,0.8564593301435407
757,"[('high_sodium', 'HasSodiumLevel'), ('low_sugar', 'HasSugarLevel')]",849,335,0.3945818610129564,342,335,0.97953216374269,0.5625524769101595,849,706,0.8315665488810365
758,"[('high_sodium', 'HasSodiumLevel'), ('medium_sugar', 'HasSugarLevel')]",301,279,0.9269102990033222,342,279,0.8157894736842105,0.8678071539657854,301,263,0.8737541528239202
759,"[('high_sodium', 'HasSodiumLevel'), ('high_sugar', 'HasSugarLevel')]",246,225,0.9146341463414634,342,225,0.6578947368421053,0.7653061224489797,246,205,0.8333333333333334
760,"[('low_sodium', 'HasSodiumLevel'), ('low_cholesterol', 'HasCholesterolLevel')]",2059,342,0.16610004856726565,342,342,1.0,0.2848812994585589,2059,1855,0.9009227780475959
761,"[('low_sodium', 'HasSodiumLevel'), ('medium_cholesterol', 'HasCholesterolLevel')]",428,312,0.7289719626168224,342,312,0.9122807017543859,0.8103896103896103,428,346,0.8084112149532711
762,"[('low_sodium', 'HasSodiumLevel'), ('high_cholesterol', 'HasCholesterolLevel')]",281,234,0.8327402135231317,342,234,0.6842105263157895,0.7512038523274478,281,219,0.7793594306049823
763,"[('medium_sodium', 'HasSodiumLevel'), ('low_cholesterol', 'HasCholesterolLevel')]",1202,342,0.28476269775187346,342,342,1.0,0.4432922877511342,1202,1044,0.8685524126455907
764,"[('medium_sodium', 'HasSodiumLevel'), ('medium_cholesterol', 'HasCholesterolLevel')]",756,340,0.4497354497354497,342,340,0.9941520467836257,0.6193078324225865,756,656,0.8677248677248677
765,"[('medium_sodium', 'HasSodiumLevel'), ('high_cholesterol', 'HasCholesterolLevel')]",632,338,0.5348101265822784,342,338,0.9883040935672515,0.6940451745379876,632,532,0.8417721518987342
766,"[('high_sodium', 'HasSodiumLevel'), ('low_cholesterol', 'HasCholesterolLevel')]",454,315,0.6938325991189427,342,315,0.9210526315789473,0.7914572864321607,454,372,0.8193832599118943
767,"[('high_sodium', 'HasSodiumLevel'), ('medium_cholesterol', 'HasCholesterolLevel')]",327,284,0.8685015290519877,342,284,0.8304093567251462,0.8490284005979072,327,280,0.8562691131498471
768,"[('high_sodium', 'HasSodiumLevel'), ('high_cholesterol', 'HasCholesterolLevel')]",615,338,0.5504885993485342,342,338,0.9883040935672515,0.7071129707112971,615,524,0.8520325203252033
769,"[('low_sodium', 'HasSodiumLevel'), ('low_calorie', 'HasCalorieLevel')]",2136,341,0.1596441947565543,342,341,0.9970760233918129,0.2752219531880549,2136,1940,0.9082397003745318
770,"[('low_sodium', 'HasSodiumLevel'), ('medium_calorie', 'HasCalorieLevel')]",563,335,0.5950266429840142,342,335,0.97953216374269,0.7403314917127072,563,478,0.8490230905861457
771,"[('low_sodium', 'HasSodiumLevel'), ('high_calorie', 'HasCalorieLevel')]",69,65,0.9420289855072463,342,65,0.19005847953216373,0.316301703163017,69,45,0.6521739130434783
772,"[('medium_sodium', 'HasSodiumLevel'), ('low_calorie', 'HasCalorieLevel')]",1427,341,0.2391304347826087,342,341,0.9970760233918129,0.38574660633484165,1427,1237,0.866853538892782
773,"[('medium_sodium', 'HasSodiumLevel'), ('medium_calorie', 'HasCalorieLevel')]",1015,342,0.3369458128078818,342,342,1.0,0.5040530582166544,1015,886,0.8729064039408867
774,"[('medium_sodium', 'HasSodiumLevel'), ('high_calorie', 'HasCalorieLevel')]",148,142,0.9594594594594594,342,142,0.4152046783625731,0.5795918367346938,148,111,0.75
775,"[('high_sodium', 'HasSodiumLevel'), ('low_calorie', 'HasCalorieLevel')]",365,269,0.736986301369863,342,269,0.7865497076023392,0.7609618104667609,365,279,0.7643835616438356
776,"[('high_sodium', 'HasSodiumLevel'), ('medium_calorie', 'HasCalorieLevel')]",771,333,0.43190661478599224,342,333,0.9736842105263158,0.5983827493261457,771,644,0.8352788586251622
777,"[('high_sodium', 'HasSodiumLevel'), ('high_calorie', 'HasCalorieLevel')]",260,238,0.918918918918919,342,238,0.695906432748538,0.7920133111480866,260,217,0.8346153846153846
